In [5]: run section-4-7-venus-smallsat-performance-analysis-prd.py
RUN #: 123, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 121, EFPA: -5.26, SIGMA: 1.28, APO : 2752.23
RUN #: 124, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 157, EFPA: -5.18, SIGMA: 0.57, APO : 2083.90
RUN #: 125, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 6, EFPA: -5.20, SIGMA: -0.43, APO : 2017.97
RUN #: 126, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 49, EFPA: -5.24, SIGMA: -0.70, APO : 1867.34
RUN #: 127, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 72, EFPA: -5.21, SIGMA: -0.32, APO : 2078.60
RUN #: 128, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 58, EFPA: -5.22, SIGMA: -0.37, APO : 2196.66
RUN #: 129, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 131, EFPA: -5.17, SIGMA: 1.39, APO : 2272.66
RUN #: 130, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 49, EFPA: -5.23, SIGMA: 0.04, APO : 1827.88
RUN #: 131, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 192, EFPA: -5.20, SIGMA: 0.37, APO : 1947.42
RUN #: 132, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 33, EFPA: -5.19, SIGMA: -0.88, APO : 1741.44
RUN #: 133, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 155, EFPA: -5.16, SIGMA: 0.93, APO : 1900.56
RUN #: 134, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 29, EFPA: -5.16, SIGMA: -0.66, APO : 1904.85
RUN #: 135, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 146, EFPA: -5.18, SIGMA: 0.34, APO : 1839.51
RUN #: 136, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 25, EFPA: -5.18, SIGMA: -0.40, APO : 1757.27
RUN #: 137, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 194, EFPA: -5.23, SIGMA: 0.39, APO : 2284.93
RUN #: 138, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 199, EFPA: -5.18, SIGMA: -0.21, APO : 1991.33
RUN #: 139, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 24, EFPA: -5.19, SIGMA: 0.09, APO : 1904.87
RUN #: 140, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 196, EFPA: -5.16, SIGMA: -1.60, APO : 3074.42
RUN #: 141, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 67, EFPA: -5.19, SIGMA: -2.14, APO : 1769.69
