# Hgtkm   TotNDm3     H2NDm3     HeNDm3    CH4NDm3   Denskgm3     PresNm2    TempK   Zeta 
 895.0 9.9441E+16 8.0548E+16 1.8894E+16 3.0974E+03 3.9568E-10  4.4437E-04  323.66 1.0000
 900.0 9.4607E+16 7.6632E+16 1.7975E+16 2.0410E+03 3.7644E-10  4.2549E-04  325.75 1.0000
 905.0 9.0013E+16 7.2911E+16 1.7103E+16 1.3555E+03 3.5816E-10  4.0742E-04  327.83 1.0000
 910.0 8.5647E+16 6.9374E+16 1.6273E+16 9.0747E+02 3.4079E-10  3.9012E-04  329.92 1.0000
 915.0 8.1498E+16 6.6014E+16 1.5485E+16 6.1250E+02 3.2428E-10  3.7357E-04  332.00 1.0000
 920.0 7.7555E+16 6.2819E+16 1.4735E+16 4.1685E+02 3.0859E-10  3.5772E-04  334.08 1.0000
 925.0 7.3806E+16 5.9783E+16 1.4023E+16 2.8606E+02 2.9367E-10  3.4255E-04  336.16 1.0000
 930.0 7.0243E+16 5.6897E+16 1.3346E+16 1.9797E+02 2.7950E-10  3.2803E-04  338.24 1.0000
 935.0 6.6856E+16 5.4153E+16 1.2703E+16 1.3817E+02 2.6602E-10  3.1413E-04  340.32 1.0000
 940.0 6.3635E+16 5.1544E+16 1.2091E+16 9.7247E+01 2.5320E-10  3.0082E-04  342.40 1.0000
 945.0 6.0573E+16 4.9064E+16 1.1509E+16 6.9027E+01 2.4102E-10  2.8809E-04  344.48 1.0000
 950.0 5.7662E+16 4.6706E+16 1.0956E+16 4.9412E+01 2.2944E-10  2.7589E-04  346.55 1.0000
 955.0 5.4893E+16 4.4464E+16 1.0430E+16 3.5668E+01 2.1842E-10  2.6422E-04  348.63 1.0000
 960.0 5.2261E+16 4.2331E+16 9.9295E+15 2.5963E+01 2.0794E-10  2.5305E-04  350.70 1.0000
 965.0 4.9757E+16 4.0303E+16 9.4538E+15 1.9056E+01 1.9798E-10  2.4235E-04  352.78 1.0000
 970.0 4.7376E+16 3.8374E+16 9.0014E+15 1.4101E+01 1.8851E-10  2.3211E-04  354.85 1.0000
 975.0 4.5111E+16 3.6540E+16 8.5710E+15 1.0519E+01 1.7949E-10  2.2230E-04  356.92 1.0000
 980.0 4.2956E+16 3.4795E+16 8.1617E+15 7.9099E+00 1.7092E-10  2.1291E-04  359.00 1.0000
 985.0 4.0907E+16 3.3135E+16 7.7723E+15 5.9948E+00 1.6277E-10  2.0392E-04  361.07 1.0000
 990.0 3.9084E+16 3.1658E+16 7.4259E+15 4.5935E+00 1.5551E-10  1.9574E-04  362.75 1.0000
 995.0 3.7442E+16 3.0328E+16 7.1140E+15 3.5559E+00 1.4898E-10  1.8822E-04  364.10 1.0000
1000.0 3.5870E+16 2.9055E+16 6.8154E+15 2.7732E+00 1.4273E-10  1.8099E-04  365.46 1.0000
1010.0 3.2880E+16 2.6959E+16 5.9212E+15 1.6068E+00 1.2976E-10  1.6807E-04  370.23 1.0000
1020.0 3.0196E+16 2.5041E+16 5.1545E+15 9.3802E-01 1.1823E-10  1.5632E-04  374.95 1.0000
